"Search entire store here...","Busca en toda la tienda aquí..."
"Add to Cart","Añadir"
"Enter your email address","Introduce tu email"
"Contact Us","Contáctenos"
"You have no items in your shopping cart.","No tiene artículos en su carrito de compras."
"Compare Products","Comparar Productos"
"You have no items in your wish list.","No tienes artículos en tu lista de deseos."
"Orders and Returns","Pedidos y Devoluciones"
"My Wish List","Mi Lista de Deseados"
"You have no items to compare.","No tienes articulos para comparar."
"Privacy and Cookie Policy","Política de privacidad y cookies"
"Advanced Search","Búsqueda Avanzada"
"Search Terms","Términos de búsqueda"
"Subscribe","Suscribir"
"Customer Login","Inicio de Sesión"
"Registered Customers","Clientes Registrados"
"New Customers","Nuevos Clientes"
"If you have an account, sign in with your email address.","Si tiene una cuenta, inicie sesión con su dirección de correo electrónico."
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crear una cuenta tiene muchos beneficios: creación de pedidos más rápido, tener más de una dirección, realizar seguimiento de los pedidos y más."
"Create an Account","Crear una Cuenta"
"Qty","Cantidad"
"IN STOCK","EN EXISTENCIA"
"Be the first to review this product","Sé el primero en revisar este producto"
"Add to Wish List","Añadir a lista de deseados"
"Details","Detalles"
"Adding...","Añadiendo..."
"You added %1 to your shopping cart.","Has añadido %1 a tu carrito de compras."
"View and Edit Cart","Ver y Editar Carrito"
"Proceed to Checkout","Proceder al Pago"
"Cart Subtotal","Subtotal del carrito"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-presente Magento, Inc. Todos los derechos reservados."
